price,area,price_per_sqft,location,bhk,resale,furnished,school,security,carparking,hospital,playarea,liftavailable,vaastucompliant
43.12,1232,3500.0,Uttarahalli,2,0,0,0,0,0,0,1,1,0
52.95,1513,3499.6695307336417,Uttarahalli,3,0,0,0,0,0,0,1,1,0
36.96,1056,3500.0,Uttarahalli,2,0,0,0,0,0,0,1,1,0
41.4,1183,3499.577345731192,Uttarahalli,2,0,0,0,0,0,0,1,1,0
38.32,1095,3499.5433789954336,Uttarahalli,2,0,0,0,0,0,0,1,1,0
33.77,965,3499.4818652849744,Uttarahalli,2,0,0,0,0,0,0,1,1,0
45.6,1303,3499.6162701458175,Uttarahalli,3,0,0,0,0,0,0,1,1,0
50.15,1433,3499.6510816468945,Uttarahalli,3,0,0,0,0,0,0,1,1,0
37.69,1077,3499.535747446611,Uttarahalli,2,0,0,0,0,0,0,1,1,0
34.47,985,3499.492385786802,Uttarahalli,2,0,0,0,0,0,0,1,1,0
49.56,1416,3500.0,Uttarahalli,3,0,0,0,0,0,0,1,1,0
53.23,1521,3499.6712689020383,Uttarahalli,3,0,0,0,0,0,0,1,1,0
39.54999,1130,3499.999115044248,Uttarahalli,2,0,0,0,0,0,0,1,1,0
34.19,977,3499.4882292732855,Uttarahalli,2,0,0,0,0,0,0,1,1,0
53.51,1529,3499.672988881622,Uttarahalli,3,0,0,0,0,0,0,1,1,0
44.34,1267,3499.605367008682,Uttarahalli,3,0,0,0,0,0,0,1,1,0
94.53,1725,5480.0,Hosa Road,3,0,0,0,1,1,0,1,1,1
150.0,1795,8356.545961002785,Sahakar Nagar,2,0,0,0,1,1,0,1,1,1
89.0,1000,8900.0,Sahakar Nagar,1,0,0,0,1,1,0,1,1,1
144.0,1740,8275.862068965518,Sahakar Nagar,2,0,0,0,1,1,0,1,1,1
127.0,1490,8523.489932885906,Sahakar Nagar,2,0,0,0,1,1,0,1,1,1
125.0,1320,9469.69696969697,Sahakar Nagar,3,0,0,0,1,1,0,1,1,1
200.99999,2330,8626.609012875537,Sahakar Nagar,4,0,0,0,1,1,0,1,1,1
188.0,2165,8683.602771362586,Sahakar Nagar,3,0,0,0,1,1,0,1,1,1
137.0,1645,8328.267477203648,Sahakar Nagar,2,0,0,0,1,1,0,1,1,1
189.0,1985,9521.410579345089,Sahakar Nagar,3,0,0,0,1,1,0,1,1,1
85.0,1616,5259.9009900990095,Avalahalli Off Sarjapur Road,3,0,0,0,1,1,0,1,1,1
90.0,1541,5840.363400389358,Hosa Road,3,0,0,0,1,0,0,1,1,0
93.0,1515,6138.6138613861385,Varthur,3,0,0,0,0,0,0,1,1,0
110.0,1690,6508.87573964497,Uttarahalli,3,1,0,0,1,0,0,1,1,1
